Site Names,,,,
Codes,English Names,Province Codes,Latitude,Longitude
s0000261,Drummondville,QC,45.88N,72.48W
s0000546,Dryden,ON,49.78N,92.83W
s0000863,Duncan,BC,48.78N,123.70W
s0000452,Dunchurch,ON,45.65N,79.85W
s0000237,Dundalk,ON,44.17N,80.39W
s0000428,Ear Falls,ON,50.64N,93.24W
s0000752,Earlton,ON,47.71N,79.82W
s0000138,East Point,PE,46.46N,62.07W
s0000134,Eastend,SK,49.52N,108.82W
s0000814,Economy,NS,45.38N,63.92W
s0000045,Edmonton,AB,53.54N,113.49W
s0000510,Edmonton (Int'l Aprt),AB,53.27N,113.55W
s0000043,Edmundston,NB,47.36N,68.34W
s0000518,Edson,AB,53.59N,116.44W
s0000618,Ekati (Lac de Gras),NT,64.50N,110.50W
s0000274,Elbow,SK,51.12N,106.60W
s0000156,Elk Island (National Park),AB,53.61N,112.87W
s0000512,Elliot Lake,ON,46.38N,82.66W
s0000153,Emerson,MB,49.01N,97.21W
s0000112,Englee,NL,50.73N,56.10W
s0000206,Ennadai,NU,61.13N,100.88W
s0000560,Enterprise,NT,60.56N,116.15W
s0000028,Escoumins,QC,48.35N,69.41W
s0000861,Eskasoni,NS,45.94N,60.63W
s0000286,Esquimalt,BC,48.43N,123.41W
s0000516,Estevan,SK,49.13N,102.98W
s0000132,Estevan Point,BC,49.38N,126.53W
s0000176,Esther,AB,51.68N,110.26W
s0000140,Eureka,NU,79.99N,85.89W
s0000063,Farnham,QC,45.28N,72.98W
s0000349,Faro,YT,62.23N,133.35W
s0000738,Fermont,QC,52.80N,67.09W
s0000339,Fisher Branch,MB,51.08N,97.62W
s0000015,Flin Flon,MB,54.77N,101.86W
s0000484,Forestville,QC,48.74N,69.08W
s0000536,Forillon,QC,48.83N,64.57W
s0000537,Forillon (National Park),QC,48.90N,64.35W
s0000597,Fort Albany,ON,52.21N,81.68W
s0000636,Fort Chipewyan,AB,58.71N,111.16W
s0000282,Fort Erie,ON,42.91N,78.92W
s0000104,Fort Frances,ON,48.61N,93.39W
s0000818,Fort Good Hope,NT,66.26N,128.64W
s0000210,Fort Liard,NT,60.23N,123.47W
s0000595,Fort McMurray,AB,56.70N,111.36W
s0000816,Fort McPherson,NT,67.44N,134.86W
s0000771,Fort Nelson,BC,58.81N,122.70W
s0000188,Fort Providence,NT,61.35N,117.65W
s0000087,Fort Qu'Appelle,SK,50.77N,103.79W
s0000524,Fort Resolution,NT,61.17N,113.67W
s0000517,Fort Severn,ON,55.99N,87.63W
s0000525,Fort Simpson,NT,61.86N,121.35W
s0000690,Fort Smith,NT,60.01N,111.88W
s0000746,Fort St. John,BC,56.25N,120.84W
s0000020,Fourchu Head,NS,45.72N,60.26W
s0000250,Fredericton,NB,45.96N,66.65W
s0000688,Fundy (National Park),NB,45.62N,65.03W
s0000388,Gameti,NT,64.11N,117.36W
s0000169,Gananoque,ON,44.33N,76.16W
s0000667,Gander,NL,48.96N,54.61W
s0000167,Garden Creek,AB,58.70N,113.89W
s0000535,Gaspé,QC,48.83N,64.57W
s0000321,Gaspésie (Parc national),QC,48.93N,66.28W
s0000611,Gatineau,QC,45.49N,75.66W
s0000316,Gibsons,BC,49.40N,123.51W
s0000543,Gillam,MB,56.35N,94.73W
s0000534,Gimli,MB,50.63N,96.99W
s0000820,Gjoa Haven,NU,68.63N,95.87W
s0000165,Goderich,ON,43.74N,81.70W
s0000566,Gods Lake,MB,54.67N,94.15W
s0000025,Gogama,ON,47.67N,81.73W
s0000527,Golden,BC,51.29N,116.96W
s0000234,Gonzales Point,BC,48.41N,123.29W
s0000647,Good Hope Lake,BC,59.29N,129.29W
s0000790,Gore Bay,ON,45.92N,82.46W
s0000288,Gouin (Réservoir),QC,48.46N,73.68W
s0000052,Granby,QC,45.40N,72.72W
s0000475,Grand Bank,NL,47.10N,55.76W
s0000191,Grand Beach,MB,50.55N,96.63W
s0000405,Grand Étang,NS,46.53N,61.06W
s0000201,Grand Falls,NB,47.04N,67.75W
s0000118,Grand Falls-Windsor,NL,48.94N,55.65W
s0000004,Grand Forks,BC,49.04N,118.44W
s0000622,Grand Manan,NB,44.70N,66.82W
s0000207,Grand Rapids,MB,53.18N,99.28W
s0000781,Grande Cache,AB,53.89N,119.12W
s0000661,Grande Prairie,AB,55.17N,118.80W
s0000319,Grande-Vallée,QC,49.25N,65.57W
s0000638,Gravenhurst,ON,44.92N,79.37W
s0000528,Greater Napanee,ON,44.25N,76.95W
s0000680,Greater Sudbury,ON,46.49N,81.00W
s0000418,Greenstone (Beardmore),ON,49.60N,87.96W
