Site Names,,,,
Codes,English Names,Province Codes,Latitude,Longitude
s0000538,Greenstone (Geraldton),ON,49.78N,86.53W
s0000539,Greenstone (Nakina),ON,50.23N,86.96W
s0000803,Greenwood,NS,44.97N,64.93W
s0000172,Gretna,MB,49.01N,97.56W
s0000177,Grise Fiord,NU,76.42N,82.89W
s0000457,Gros Morne,NL,49.69N,57.74W
s0000571,Guelph,ON,43.54N,80.24W
s0000155,Gulf Islands (Southern),BC,48.79N,123.05W
s0000395,Gull Bay,ON,49.80N,89.11W
s0000860,Gull Island Rapids (Trans-Labrador Hwy),NL,52.97N,61.45W
s0000464,Guysborough,NS,45.39N,61.50W
s0000183,Haines Junction,YT,60.75N,137.51W
s0000548,Haldimand County,ON,42.99N,79.85W
s0000303,Haliburton,ON,45.07N,78.09W
s0000318,Halifax,NS,44.65N,63.60W
s0000084,Halifax (Shearwater),NS,44.67N,63.56W
s0000789,Halton Hills,ON,43.63N,79.95W
s0000549,Hamilton,ON,43.26N,79.87W
s0000780,Happy Valley-Goose Bay,NL,53.30N,60.32W
s0000308,Hart Island,NS,45.34N,61.00W
s0000541,Havre St-Pierre,QC,50.25N,63.60W
s0000069,Hawkesbury,ON,45.61N,74.60W
s0000561,Hay River,NT,60.81N,115.78W
s0000266,Hearst,ON,49.64N,83.40W
s0000279,Hendrickson Creek,AB,53.74N,118.23W
s0000621,High Level,AB,58.52N,117.14W
s0000383,High River,AB,50.58N,113.87W
s0000066,Highvale,AB,53.56N,114.49W
s0000849,Highway 3 - Hope to Princeton via Allison Pass,BC,49.06N,120.75W
s0000850,Highway 3 - Paulson Summit to Kootenay Pass,BC,49.19N,117.43W
s0000851,Highway 97 - Clinton to 100 Mile House via Begbie Summit,BC,51.33N,121.39W
s0000852,Highway 97 - Pine Pass,BC,55.51N,122.55W
s0000217,Hinton,AB,53.40N,117.57W
s0000547,Hope,BC,49.38N,121.43W
s0000226,Hope Slide,BC,49.32N,121.28W
s0000181,Hopedale,NL,55.46N,60.21W
s0000655,Hopewell,NB,45.77N,64.68W
s0000267,Hornepayne,ON,49.22N,84.78W
s0000545,Hudson Bay,SK,52.86N,102.39W
s0000196,Humboldt,SK,52.20N,105.12W
s0000178,Hunters Point,MB,53.14N,101.09W
s0000099,Huntingdon,QC,45.09N,74.18W
s0000640,Huntsville,ON,45.33N,79.22W
s0000540,Igloolik,NU,69.38N,81.80W
s0000819,Ignace,ON,49.41N,91.66W
s0000174,Îles-de-la-Madeleine,QC,47.62N,61.52W
s0000086,Indian Head,SK,50.53N,103.67W
s0000389,Indin River,NT,64.11N,117.36W
s0000433,Ingonish,NS,46.69N,60.37W
s0000627,Inukjuak,QC,58.45N,78.11W
s0000519,Inuvik,NT,68.36N,133.72W
s0000008,Invermere,BC,50.50N,116.04W
s0000394,Iqaluit,NU,63.75N,68.52W
s0000565,Island Lake,MB,53.86N,94.66W
s0000563,Ivujivik,QC,62.42N,77.92W
s0000218,Jasper,AB,52.87N,118.09W
s0000721,Joliette,QC,46.02N,73.44W
s0000659,Kakabeka Falls,ON,48.40N,89.62W
s0000305,Kaladar,ON,44.65N,77.12W
s0000568,Kamloops,BC,50.68N,120.35W
s0000335,Kamouraska,QC,47.57N,69.87W
s0000664,Kamsack,SK,51.56N,101.90W
s0000263,Kananaskis (Nakiska Ridgetop),AB,51.04N,115.26W
s0000591,Kangiqsualujjuaq,QC,58.70N,65.96W
s0000574,Kangiqsujuaq,QC,61.60N,71.95W
s0000480,Kangirsuk,QC,60.02N,70.03W
s0000782,Kapuskasing,ON,49.45N,82.15W
s0000632,Kawartha Lakes (Fenelon Falls),ON,44.54N,78.74W
s0000631,Kawartha Lakes (Lindsay),ON,44.30N,78.56W
s0000223,Kejimkujik (National Park),NS,44.39N,65.29W
s0000592,Kelowna,BC,49.88N,119.48W
s0000436,Kemptville,ON,45.02N,75.64W
s0000651,Kenora,ON,49.73N,94.33W
s0000439,Kentville,NS,45.08N,64.50W
s0000576,Key Lake,SK,57.36N,106.83W
s0000088,Killarney,ON,45.97N,81.51W
s0000587,Kimmirut,NU,62.85N,69.87W
s0000166,Kincardine,ON,44.17N,81.63W
s0000581,Kindersley,SK,51.47N,109.16W
s0000531,Kingston,ON,44.24N,76.50W
s0000694,Kinngait,NU,64.23N,76.54W
s0000437,Kirkland Lake,ON,48.15N,80.03W
s0000573,Kitchener-Waterloo,ON,43.59N,80.48W
s0000756,Kitimat,BC,54.05N,128.65W
s0000505,Kluane Lake,YT,61.25N,138.81W
s0000391,Kootenay (National Park),BC,51.39N,116.49W
s0000038,Kouchibouguac,NB,46.86N,64.98W
s0000065,Kugaaruk,NU,68.53N,89.82W
s0000498,Kugluktuk,NU,67.83N,115.10W
s0000719,Kuujjuaq,QC,58.11N,68.40W
s0000542,Kuujjuarapik,QC,55.30N,77.74W
s0000857,L'Anse-au-Loup,NL,51.60N,56.71W
s0000142,L'Assomption,QC,45.81N,73.43W
s0000336,L'Islet,QC,47.10N,70.35W
s0000532,La Grande Rivière,QC,53.80N,77.61W
s0000478,La Grande-Quatre,QC,53.86N,73.49W
s0000722,La Loche,SK,56.49N,109.43W
s0000333,La Malbaie,QC,47.65N,70.15W
s0000048,La Prairie,QC,45.41N,73.57W
s0000715,La Ronge,SK,55.11N,105.28W
s0000354,La Sarre,QC,48.81N,79.20W
s0000079,La Scie,NL,49.96N,55.59W
s0000124,La Tuque,QC,47.44N,72.78W
s0000245,La Vérendrye (Réserve faunique),QC,47.33N,77.00W
s0000737,Labrador City,NL,52.94N,66.91W
s0000229,Lac La Biche,AB,54.77N,111.98W
s0000575,Lac Raglan,QC,61.30N,73.67W
s0000186,Lac-Mégantic,QC,45.57N,70.88W
s0000674,Lac-Saint-Jean,QC,48.63N,72.32W
s0000602,Lachute,QC,45.66N,74.34W
s0000297,Lacombe,AB,52.46N,113.73W
s0000763,Lake Superior (Provincial Park),ON,47.60N,84.74W
s0000744,Lambton Shores,ON,43.18N,81.90W
s0000459,Lanaudière,QC,46.44N,73.17W
s0000866,Langley,BC,49.10N,122.66W
s0000233,Lansdowne House,ON,52.21N,87.89W
s0000381,Last Mountain Lake (Sanctuary),SK,51.51N,105.01W
s0000284,Laurentides (Réserve faunique),QC,47.75N,71.25W
s0000712,Laval,QC,45.60N,73.67W
s0000149,Le Gardeur,QC,45.70N,73.58W
s0000219,Leader,SK,50.89N,109.54W
s0000776,Leaf Rapids,MB,56.46N,100.01W
s0000431,Leamington,ON,42.05N,82.60W
s0000652,Lethbridge,AB,49.69N,112.84W
s0000416,Lévis,QC,46.76N,71.24W
s0000669,Lewisporte,NL,49.25N,55.07W
s0000377,Liard River,BC,59.42N,126.08W
s0000222,Lillooet,BC,50.69N,121.93W
s0000470,Lincoln,ON,43.17N,79.48W
s0000010,Little Grand Rapids,MB,52.04N,95.46W
s0000371,Liverpool,NS,44.04N,64.72W
s0000590,Lloydminster,AB,53.28N,110.03W
s0000835,Lloydminster,SK,53.28N,109.98W
s0000326,London,ON,42.98N,81.25W
s0000551,Longueuil,QC,45.51N,73.43W
s0000605,Lorraine,QC,45.67N,73.79W
s0000348,Louiseville,QC,46.26N,72.94W
s0000230,Lucky Lake,SK,50.98N,107.13W
s0000440,Lunenburg,NS,44.38N,64.32W
s0000443,Lutselke,NT,62.41N,110.73W
s0000777,Lynn Lake,MB,56.85N,101.05W
s0000242,Lytton,BC,50.23N,121.58W
s0000805,Mackenzie,BC,55.34N,123.10W
s0000345,Magog,QC,45.26N,72.15W
s0000526,Makkovik,NL,55.09N,59.17W
s0000224,Malahat,BC,48.55N,123.57W
s0000868,Malahat Highway - Goldstream to Mill Bay,BC,48.56N,123.57W
s0000447,Malay Falls,NS,44.99N,62.48W
s0000123,Manicouagan,QC,50.64N,68.73W
s0000244,Maniwaki,QC,46.37N,75.98W
s0000248,Maple Creek,SK,49.90N,109.49W
s0000026,Maple Plains,PE,46.32N,63.65W
s0000022,Marathon,ON,48.76N,86.58W
s0000220,Marble Mountain,NL,48.93N,57.89W
s0000060,Marieville,QC,45.43N,73.16W
s0000585,Markham,ON,43.88N,79.26W
s0000594,Mary's Harbour,NL,52.30N,55.83W
s0000474,Marystown,NL,47.17N,55.16W
s0000145,Mascouche,QC,45.75N,73.60W
s0000007,Masset,BC,54.02N,132.15W
s0000617,Matagami,QC,49.76N,77.62W
s0000784,Matane,QC,48.84N,67.53W
s0000407,Matapedia,QC,47.98N,66.96W
s0000125,Mauricie,QC,47.08N,72.91W
s0000593,Mayo,YT,63.59N,135.90W
s0000005,McBride,BC,53.30N,120.17W
s0000276,McCreary,MB,50.77N,99.49W
s0000589,Meadow Lake,SK,54.13N,108.43W
s0000745,Medicine Hat,AB,50.04N,110.68W
s0000158,Melfort,SK,52.86N,104.61W
s0000136,Melita,MB,49.27N,100.99W
s0000665,Melville,SK,50.93N,102.80W
s0000006,Merritt,BC,50.11N,120.79W
s0000281,Midland,ON,44.75N,79.88W
s0000523,Mildred Lake,AB,57.19N,111.64W
s0000313,Milk River,AB,49.16N,112.08W
s0000105,Mine Centre,ON,48.77N,92.62W
s0000094,Mingan,QC,50.29N,64.04W
s0000490,Minnedosa,MB,50.25N,99.84W
s0000600,Mirabel,QC,45.65N,74.08W
s0000036,Miramichi,NB,47.00N,65.47W
s0000243,Miscou Island,NB,47.90N,64.58W
s0000786,Mississauga,ON,43.59N,79.66W
s0000654,Moncton,NB,46.09N,64.79W
s0000783,Mont-Joli,QC,48.59N,68.19W
s0000246,Mont-Laurier,QC,46.55N,75.50W
s0000555,Mont-Saint-Hilaire,QC,45.55N,73.32W
s0000213,Mont-Tremblant,QC,46.12N,74.60W
s0000334,Montmagny,QC,46.98N,70.56W
s0000635,Montréal,QC,45.51N,73.55W
s0000762,Montreal River Harbour,ON,47.24N,84.64W
s0000822,Moose Jaw,SK,50.40N,105.53W
s0000733,Moosomin,SK,50.14N,101.67W
s0000596,Moosonee,ON,51.28N,80.65W
s0000444,Morden,MB,49.19N,98.10W
s0000150,Morris,MB,49.36N,97.36W
s0000072,Morrisburg,ON,44.90N,75.18W
s0000198,Mount Carleton (Provincial Park),NB,47.38N,66.83W
s0000240,Mount Forest,ON,43.98N,80.74W
s0000376,Muncho Lake,BC,58.93N,125.77W
s0000027,Murdochville,QC,48.96N,65.50W
s0000016,Musgrave Harbour,NL,49.45N,53.95W
s0000642,Muskoka,ON,44.91N,79.37W
s0000476,Nahanni Butte,NT,61.03N,123.38W
s0000162,Nain,NL,56.54N,61.70W
s0000259,Nakusp,BC,50.24N,117.80W
s0000496,Nanaimo,BC,49.17N,123.94W
s0000693,Nanisivik,NU,73.03N,84.54W
s0000610,Natashquan,QC,50.19N,61.82W
s0000713,Naujaat,NU,66.52N,86.24W
s0000258,Nelson,BC,49.50N,117.28W
s0000268,New Carlisle,QC,48.01N,65.33W
s0000089,New Glasgow,NS,45.59N,62.64W
s0000429,New Tecumseth,ON,44.08N,79.77W
s0000017,New-Wes-Valley,NL,49.15N,53.63W
s0000582,Newmarket,ON,44.06N,79.46W
s0000692,Niagara Falls,ON,43.11N,79.07W
s0000260,Nicolet,QC,46.23N,72.62W
s0000095,Nipawin,SK,53.36N,104.01W
s0000419,Nipigon,ON,49.01N,88.27W
s0000448,Nordegg,AB,52.47N,116.08W
s0000426,Norfolk,ON,42.94N,80.44W
s0000720,Norman Wells,NT,65.28N,126.83W
s0000666,North Battleford,SK,52.78N,108.29W
s0000765,North Bay,ON,46.32N,79.47W
s0000252,North Cape,PE,46.87N,64.07W
s0000264,North East Margaree,NS,46.33N,61.00W
s0000021,North Mountain (Cape Breton),NS,46.83N,60.80W
s0000238,North Perth,ON,43.73N,80.95W
s0000616,Norway House,MB,53.98N,97.83W
s0000273,Oak Point,MB,50.51N,98.03W
s0000367,Oakville,ON,43.46N,79.69W
s0000231,Ogoki,ON,51.63N,85.94W
s0000853,Okanagan Connector - Merritt to Kelowna,BC,49.90N,120.14W
s0000767,Okotoks,AB,50.73N,113.98W
s0000823,Old Crow,YT,67.57N,139.83W
s0000272,Onefour,AB,49.12N,110.47W
s0000815,Orangeville,ON,43.92N,80.11W
s0000414,Orillia,ON,44.61N,79.42W
s0000521,Oromocto,NB,45.85N,66.49W
s0000707,Oshawa,ON,43.90N,78.86W
s0000397,Osoyoos,BC,49.03N,119.46W
s0000430,Ottawa (Kanata - Orléans),ON,45.40N,75.69W
s0000623,Ottawa (Richmond - Metcalfe),ON,45.24N,75.47W
s0000556,Otterburn Park,QC,45.54N,73.19W
s0000387,Outlook,SK,51.49N,107.06W
s0000728,Owen Sound,ON,44.57N,80.93W
s0000514,Oxbow,SK,49.23N,102.17W
s0000011,Oxford House,MB,54.95N,95.25W
s0000075,Oxtongue Lake,ON,45.38N,78.93W
s0000750,Pangnirtung,NU,66.14N,65.71W
s0000612,Papineau,QC,45.70N,74.98W
s0000287,Parent,QC,47.92N,74.62W
s0000040,Parrsboro,NS,45.41N,64.33W
s0000451,Parry Sound,ON,45.35N,80.03W
s0000759,Paulatuk,NT,69.35N,124.07W
s0000625,Peace River,AB,56.15N,117.72W
s0000374,Peawanuck,ON,54.99N,85.43W
s0000067,Pelican Narrows,SK,55.17N,102.94W
s0000173,Pemberton,BC,50.32N,122.80W
s0000730,Pembroke,ON,45.82N,77.11W
s0000772,Penticton,BC,49.48N,119.58W
s0000314,Percé,QC,48.50N,64.16W
s0000729,Petawawa,ON,45.89N,77.27W
s0000629,Peterborough,ON,44.30N,78.33W
s0000710,Pickering,ON,43.83N,79.11W
s0000628,Pickle Lake,ON,51.47N,90.19W
s0000677,Pikangikum,ON,51.81N,93.99W
s0000289,Pilot Mound,MB,49.20N,98.89W
s0000130,Pinawa,MB,50.15N,95.88W
